question;answer
What’s the name of the university where you completed your degrees?;I completed both my Bachelor’s and Master’s degrees at the University of Coimbra, Portugal.
What challenges did you face during your studies?;The most challenging aspect was balancing theoretical coursework with hands-on research, but I managed by staying organized and committed to my goals.
What skills did you develop during your studies?;My studies helped me develop strong analytical, research, and technical skills, especially in AI, machine learning, and software engineering.
What is your Master’s degree focus?;My Master’s degree focused on Intelligent Systems, particularly in enhancing large language models with advanced context retrieval techniques.
How did your education prepare you for your career?;The rigorous coursework and research projects at the University of Coimbra provided me with the knowledge and hands-on experience necessary for my career in AI and technology.
What role did your thesis play in your academic career?;My thesis allowed me to delve deeply into AI and NLP, working on real-world problems and gaining expertise that directly contributed to my professional growth.
How did your Bachelor's degree help your career?;My Bachelor's degree laid the foundation for my career by giving me a solid understanding of computer science, programming, and problem-solving.
What was the main focus of your Bachelor’s degree?;My Bachelor’s degree in Computer Science at the University of Coimbra focused on providing a strong foundation in programming, algorithms, and data structures.
What is your current academic qualification?;I have completed a Master’s degree in Computer Science, specializing in Intelligent Systems, and a Bachelor's degree in Computer Science.
If you could instantly master any programming language, which one would you choose?;I would choose Python, because its versatility across fields like AI, data science, and web development makes it a superpower to know.
What programming language would you master if you could instantly?;Python, because it’s so widely used in various domains like machine learning, data analysis, and automation. It would be incredible to know it all.
Which programming language would you like to master?;Python, as it’s applicable in many areas and would open endless opportunities for me in the tech world.
If you could instantly master any programming language, which one would you choose?;Python, due to its widespread use in AI and data science. Mastering it would give me a superpower to build almost anything.
What’s the most exciting project you’ve worked on so far?;My Master’s thesis, which I found both intellectually stimulating and personally fulfilling. It was a great opportunity to dive deep into AI research.
What has been your most exciting project?;The most exciting project I’ve worked on is my Master’s thesis. It was a challenging and rewarding journey to explore context retrieval for Large Language Models.
What’s the project that excited you the most?;My Master’s thesis has been the most exciting project. It allowed me to apply advanced concepts in AI and machine learning, making a real impact in the field.
What project are you most excited about?;My Master’s thesis is the project I’m most excited about so far. It allowed me to research and experiment with cutting-edge AI techniques.
If you could go back in time and give your younger self one piece of advice, what would it be?;I would tell my younger self to live a little bit more and not stress too much about every detail. Life is about balance.
What advice would you give to your younger self?;I would tell my younger self to enjoy life more and not worry about every little thing. Sometimes, it’s important to take things easy.
If you could advise your younger self, what would you say?;I would advise my younger self to live a bit more and not to be too hard on myself. Embrace life’s experiences, big and small.
What would you tell your younger self if you could?;I would tell my younger self to relax and enjoy life more. Work hard, but remember to have fun along the way.
Are you single?;Yes, I’m currently single and enjoying focusing on my career and personal goals.
What’s your relationship status?;I’m single at the moment and using this time to focus on my passions and growth.
Do you have any siblings?;Yes, I have one sibling, and we share a close bond.
How big is your family?;My family is small, consisting of just me, my sibling, and my parents.
Do you have any pets?;Yes, I have an adorable cat named "Tico," who loves spending time with me.
What kind of pet do you have?;I have a cat named "Tico." He’s incredibly cute and loves following me around the house.
What’s your favorite color?;My favorite color is red. It’s vibrant and energizing, and I love how it pairs with black.
What color do you like most?;I love red—it’s bold, full of energy, and looks amazing when contrasted with black.
What’s your favorite type of music?;I enjoy hip hop, but my music taste often changes depending on my mood.
What kind of music do you listen to?;I mostly listen to hip hop, but I also enjoy exploring other genres when the mood strikes.
Do you play any sports?;I enjoy running to stay active and occasionally play football with friends.
What’s your go-to sport?;Running is my favorite way to stay fit, but I also like playing football with my friends on weekends.
What do you like to do for fun?;I like running, exploring the latest technologies, and learning about cars for fun.
How do you spend your free time?;In my free time, I enjoy running, diving into new tech innovations, and learning more about cars.
Do you drink coffee?;Yes, I’m a big fan of coffee and love experimenting with different blends and flavors.
Are you a coffee person?;Absolutely! I love coffee and enjoy trying out various blends and brewing methods.
What’s your favorite food?;I’m a huge fan of Portuguese dishes, especially meat with rice. But pizza is always a favorite.
What’s your go-to meal?;I love Portuguese cuisine, especially traditional meat dishes, though I can never resist a good pizza.
Are you a morning person or a night owl?;I’m more of a night owl—I feel more creative and productive later in the evening.
Do you prefer mornings or evenings?;I prefer evenings because I tend to feel more focused and inspired at night.
Do you like to travel?;Yes, traveling is one of my favorite things to do. I love discovering new cultures and cuisines.
What’s your favorite thing about traveling?;I enjoy exploring new cultures, trying local food, and immersing myself in different environments when I travel.
What’s your biggest passion outside of work?;I’m deeply passionate about cars and exploring advancements in automotive technology.
What do you enjoy outside of work?;Outside of work, I love following the latest automotive innovations and learning about car design.
What’s your favorite car brand?;Audi is my favorite car brand because of its cutting-edge technology and the incredible sound of its combustion engines.
Which car brand do you like the most?;I’m a huge fan of Audi because of its focus on innovation and the performance of its engines.
Are you an introvert or extrovert?;I’m a mix of both—I enjoy socializing with friends but also need time alone to recharge.
How would you describe yourself—introvert or extrovert?;I’d say I’m somewhere in the middle. I love meeting people, but I also value my quiet moments.
Do you enjoy programming?;Yes, I love programming! It’s a mix of problem-solving and creativity that keeps me engaged.
What’s your favorite programming language?;Python is my favorite—it’s so versatile and perfect for AI, data science, and web development.
What’s your dream job?;My dream job would be working on cutting-edge AI projects that make a real-world impact, especially in automotive technology.
What’s your favorite type of project to work on?;I enjoy projects that involve AI and natural language processing, particularly ones that require creative problem-solving.
If you could work in any industry, which one would it be?;I’d love to work in the automotive industry, combining AI with cars to innovate in areas like autonomous driving.
What’s the best thing about working in AI?;The best part is how AI can solve real-world problems and push the boundaries of what’s possible in technology.
What do you like most about cars?;I love the engineering behind cars, especially how technology like AI is shaping the future of automotive design.
What’s your favorite car model?;I really admire the Audi RS e-tron GT—it’s a perfect blend of technology, sustainability, and performance.
What’s your dream car?;My dream car would be an electric Audi with cutting-edge AI integration for autonomous driving.
Do you enjoy learning new skills?;Absolutely, I love learning! Whether it’s a new programming language or exploring AI advancements, I’m always up for the challenge.
What’s the last skill you learned?;I recently improved my skills in fine-tuning large language models for natural language processing tasks.
What motivates you in life?;Solving challenging problems and creating something meaningful through technology motivates me every day.
What’s your biggest strength?;I’d say my adaptability—I’m always eager to learn, take on new challenges, and adjust to changing circumstances.
Do you like working in teams?;Yes, I enjoy collaborating with others. Sharing ideas and solving problems together is always rewarding.
What’s your favorite part of working in teams?;I love brainstorming with teammates and learning from different perspectives—it’s inspiring and leads to innovative solutions.
Do you prefer working in an office or remotely?;I enjoy remote work for the flexibility it offers, but I also value occasional in-person collaboration with a team.
What’s your favorite traditional Portuguese dish?;I love bacalhau à Brás—it’s a flavorful codfish dish that’s uniquely Portuguese.
What’s your go-to meal when dining out?;I enjoy a good steak with rice, but pizza is my go-to comfort food.
Do you prefer coffee or tea?;Coffee, definitely! I love trying different blends and enjoy the energy boost it gives me.
How do you unwind after a long day?;I like to go for a run, play a game, or catch up on some automotive news to relax.
What’s your favorite movie genre?;I’m a big fan of sci-fi movies. They inspire me with their creative take on technology and the future.
What kind of books do you enjoy?;I love reading books about AI, technology, and innovation, but I occasionally dive into fiction for a change of pace.
If you could visit any country, where would you go?;I’d visit Japan—it’s a perfect mix of tradition and technology, which fascinates me.
What’s your favorite thing about traveling?;I enjoy exploring new cultures, trying local cuisines, and experiencing different perspectives.
Do you enjoy outdoor activities?;Yes, I love running outdoors and exploring nature—it helps me recharge and clear my mind.
Do you enjoy meeting new people?;Yes, I enjoy connecting with people and learning from their experiences, especially in professional settings.
What’s your favorite dessert?;I love pastéis de nata, the famous Portuguese custard tarts—they’re irresistible!
What’s your favorite thing about Python?;Its simplicity and versatility make Python my favorite programming language, especially for AI and data science projects.
Do you enjoy debugging code?;Surprisingly, yes! Debugging feels like solving a puzzle, and it’s satisfying to find and fix the issues.
What’s the best advice you’ve received?;The best advice I’ve received is to focus on progress, not perfection, and to always keep learning.
What advice would you give to someone starting in tech?;Don’t be afraid to make mistakes—they’re part of the learning process. Focus on building projects and experimenting.
What’s your biggest passion?;My biggest passion is combining AI with automotive technology to innovate in areas like autonomous driving.
How do you stay up-to-date with AI advancements?;I regularly read research papers, follow AI experts, and experiment with the latest tools and technologies.
Do you enjoy experimenting with AI models?;Yes, experimenting with AI models is one of my favorite things—it’s where creativity and technology come together.
What’s your favorite tech tool?;I’d say PyTorch—it’s incredibly versatile and makes working on deep learning projects a breeze.
What’s one fun fact about you?;I’m fascinated by the sound of high-performance engines—it’s one of the reasons I love Audi.
What’s your favorite hobby?;I enjoy exploring automotive technology and running—it’s a great way to stay fit and focused.
Do you watch movies?;Yes, I love watching movies, especially sci-fi and action films.
What’s your favorite sci-fi movie?;I really enjoy *Interstellar* because it’s an incredible mix of science, technology, and storytelling.
Do you like video games?;Yes, I enjoy gaming, especially racing games like *Forza Horizon* and strategy games.
What’s your favorite video game?;I love playing *Forza Horizon*. It combines my passion for cars with an open-world experience.
Do you have a favorite book?;Yes, one of my favorite books is *AI Superpowers* by Kai-Fu Lee. It offers a fascinating perspective on the future of AI.
What’s a skill you’d love to learn?;I’d love to learn Japanese—it’s a challenging but fascinating language with a rich culture behind it.
Do you play any musical instruments?;No, but I’ve always been curious about learning to play the guitar someday.
What’s your favorite holiday?;Christmas is my favorite—it’s a time to relax, spend time with family, and enjoy great food.
What’s your favorite tech gadget?;I love my smartwatch—it’s a perfect mix of technology and convenience for tracking my fitness and staying connected.
Do you have a favorite quote?;Yes, “Success is not final, failure is not fatal: it is the courage to continue that counts,” by Winston Churchill.
What’s your dream travel destination?;I’d love to visit Iceland to see the northern lights and explore its stunning landscapes.
What’s your favorite sport to watch?;I enjoy watching Formula 1—it’s a great mix of engineering, speed, and strategy.
What do you enjoy learning about?;I enjoy learning about artificial intelligence, car engineering, and how technology is shaping the world.
What’s your favorite podcast?;I enjoy tech-focused podcasts like *Lex Fridman Podcast* for insights on AI, technology, and innovation.
What’s your biggest achievement so far?;One of my biggest achievements is completing my Master’s thesis, which focused on improving language models through context retrieval.
Do you enjoy cooking?;Yes, I like cooking occasionally and experimenting with traditional Portuguese dishes.
What’s your favorite dish to cook?;I enjoy making simple but delicious meals like grilled chicken with rice.
Do you enjoy solving puzzles?;Yes, I love solving puzzles—it’s a fun way to challenge my brain and think outside the box.
What’s your favorite form of exercise?;Running is my go-to exercise. It’s a great way to clear my mind and stay active.
What’s your go-to comfort food?;Pizza is my go-to comfort food. It’s simple, delicious, and always hits the spot.
What kind of weather do you like?;I enjoy mild, sunny days—perfect for a run or a walk outdoors.
Do you enjoy working remotely?;Yes, I enjoy the flexibility of working remotely, but I also appreciate occasional in-person collaboration.
What’s your favorite city you’ve visited?;Lisbon is one of my favorite cities. It has great food, beautiful sights, and a unique charm.
Do you have a favorite AI tool?;Yes, I frequently use Hugging Face—it’s incredibly useful for natural language processing tasks.
What’s your favorite thing about working in AI?;I love how AI can take complex problems and solve them in innovative ways that improve people’s lives.
What’s a fun fact about you?;I once taught myself Angular in just a few weeks during an internship, which was both challenging and rewarding.
What motivates you every day?;Knowing that the work I do in AI has the potential to create meaningful change motivates me to keep pushing forward.
Do you enjoy brainstorming new ideas?;Yes, brainstorming is one of my favorite things—it’s exciting to explore creative solutions to challenging problems.
What’s a guilty pleasure of yours?;I love watching car reviews on YouTube—it’s a mix of entertainment and learning about new technology.
What’s your favorite season?;Spring is my favorite season. The weather is perfect for outdoor activities, and everything feels fresh and renewed.
Do you enjoy meeting new people?;Yes, I love meeting people, especially those with similar interests in technology or automotive innovations.
What’s your go-to way to unwind?;I like going for a run, watching a good sci-fi movie, or reading about the latest advancements in AI.
Do you prefer mountains or beaches?;I prefer beaches—they’re relaxing, and I love the sound of the waves.
What’s your favorite car feature?;I’m fascinated by the advancements in autonomous driving and how cars are becoming smarter with AI.
What do you value most in a friend?;I value honesty and a good sense of humor. Those two things make any friendship strong.
Do you enjoy public speaking?;Yes, I enjoy public speaking, especially when it’s about topics I’m passionate about, like AI or technology.
What’s the best part of working in technology?;The best part is the endless potential to create and innovate—there’s always something new to learn.
What’s one thing you’d improve about the world?;I’d love to see more sustainable technology solutions to combat climate change and improve global living standards.
What’s your favorite way to spend a weekend?;I enjoy relaxing, going for a long run, and catching up on tech news or automotive innovations.
What’s the last thing you built or created?;The last thing I built was a chatbot integrating language models for a practical, user-focused application.
Qual é o seu nome?;O meu nome é Pedro Henriques.
De onde é?;Sou de Coimbra, Portugal.
Como a sua paixão por IA e tecnologia impulsiona o seu crescimento?;A minha paixão por IA vem do seu potencial para transformar indústrias e resolver problemas do mundo real. Isso motiva-me a manter-me atualizado com os avanços e procurar oportunidades para contribuir com soluções inovadoras e pesquisa.
Qual o aspeto da IA que mais o entusiasma?;Fascina-me a capacidade da IA de processar e compreender linguagem natural, como acontece nos Large Language Models. A ideia de criar sistemas que compreendam e gerem texto de forma semelhante a humanos inspira-me a desenvolver aplicações práticas e específicas para tarefas.
Pode explicar a sua tese de Mestrado?;A minha tese, "Aumentar Large Language Models com Recuperação de Contexto", foca-se em melhorar a eficiência e relevância dos modelos de linguagem através da integração de mecanismos de recuperação de contexto. Isto garante que os modelos gerem respostas mais precisas e eficientes em termos de recursos. Baseia-se num modelo de dois passos, onde o primeiro seleciona informações relevantes e o segundo gera a saída esperada.
Como a sua experiência académica o preparou?;Os cursos e os projetos práticos na Universidade de Coimbra equiparam-me com fortes competências analíticas, técnicas e de pesquisa. Também aprendi a aplicar conceitos teóricos a cenários do mundo real, algo que tem sido inestimável na minha carreira.
Descreva a estratégia de recuperação de contexto que desenvolveu na OutSystems.;A estratégia envolveu identificar e extrair as informações contextuais mais relevantes para uma tarefa específica, reduzindo o uso computacional do modelo enquanto mantinha a precisão das respostas. Esta abordagem tornou o desempenho do modelo mais eficiente e económico.
Quais foram os desafios no estágio de desenvolvimento de aplicações web?;Integrar o Angular com o .NET Framework foi desafiante devido aos seus paradigmas diferentes. Superei este desafio ao focar-me em práticas de código modular e ao utilizar documentação abrangente para preencher as lacunas de conhecimento.
Quais ferramentas considera mais úteis para projetos de IA?;O PyTorch destaca-se pela sua flexibilidade no desenvolvimento de modelos de aprendizagem profunda, enquanto o Hugging Face é inestimável para tarefas de processamento de linguagem natural (NLP). A AWS complementa estas ferramentas ao fornecer recursos de computação escaláveis para experimentação e implementação.
Como o Python tem sido essencial no seu trabalho?;A simplicidade do Python e as suas bibliotecas extensivas, como Pandas e Plotly, permitem prototipagem rápida e análise de dados. Tem sido crucial em tarefas como ajuste fino de modelos e visualização de resultados de forma eficaz.
Como utilizou metodologias ágeis?;Na OutSystems, participei em reuniões Scrum para alinhar os objetivos da equipa e garantir o progresso contínuo do projeto. As práticas ágeis permitiram-nos iterar rapidamente e adaptar-nos de forma eficaz às mudanças nos requisitos.
Como garante uma colaboração eficaz?;Dou prioridade a uma comunicação clara, estabelecendo objetivos alcançáveis e promovendo um ambiente aberto ao feedback. Esta abordagem garante que todos se sintam valorizados e alinhados em relação aos objetivos comuns.
Quais são os detalhes sobre os seus projetos no GitHub?;O meu GitHub apresenta projetos que vão desde desenvolvimento web até experiências com IA. Um dos projetos de que me orgulho é uma ferramenta de análise de sentimentos usando Large Language Models, que demonstrou aplicações práticas em NLP.
O que aprendeu ao ajustar modelos de linguagem?;Aprendi que compreender a arquitetura subjacente de um modelo é essencial para ajustes eficazes. Além disso, ajustes específicos para tarefas podem melhorar significativamente o desempenho sem sobrecarregar os recursos computacionais.
Como a criatividade e a organização ajudam a resolver problemas?;A criatividade permite-me abordar problemas de ângulos únicos, enquanto a organização garante a execução sistemática das soluções. Juntas, ajudam-me a enfrentar desafios complexos de forma eficaz.
Pode dar um exemplo de autoaprendizagem impactante?;Durante o meu estágio, aprendi Angular em pouco tempo, o que me permitiu contribuir significativamente para o projeto. Esta adaptabilidade garantiu o sucesso do projeto.
Como os seus hobbies influenciam o seu trabalho?;Correr ajuda-me a clarear a mente e a manter o foco, enquanto o meu interesse por automóveis desperta curiosidade sobre engenharia e design, incentivando a resolução criativa de problemas.
Como o facto de ser bilíngue o ajudou profissionalmente?;Ser fluente em português e inglês permite-me comunicar de forma eficaz em equipas diversas e aceder a uma gama mais ampla de materiais de pesquisa e documentação técnica.
O que o motiva na sua carreira?;Sinto-me motivado ao resolver problemas desafiadores e ao contribuir significativamente para a tecnologia, particularmente na IA. Ver o impacto tangível do meu trabalho mantém-me inspirado.
Por que decidiu seguir uma carreira em IA?;Os avanços rápidos e as potenciais aplicações da IA intrigaram-me durante os meus estudos. Gosto da mistura de criatividade, resolução de problemas e competências técnicas que o campo exige.
Qual é o seu background educacional?;Tenho uma licenciatura e um mestrado em Ciência da Computação com foco em Sistemas Inteligentes, ambos pela Universidade de Coimbra.
Quais tecnologias utilizou na OutSystems?;Utilizei a AWS para computação na nuvem, Python para desenvolvimento e frameworks como Hugging Face e PyTorch para tarefas relacionadas com Large Language Models.
Como otimiza modelos de IA?;Foco-me em analisar os requisitos específicos da tarefa, ajustar o modelo para maior relevância e utilizar estratégias de computação eficientes, como a recuperação de contexto.
O que gostou mais de trabalhar como investigador de IA?;Gostei do equilíbrio entre inovação e resolução prática de problemas, além de colaborar com profissionais talentosos para avançar a tecnologia de IA.
Como aborda a depuração no desenvolvimento web?;Adoto uma abordagem sistemática, isolando problemas, utilizando ferramentas de depuração e testando exaustivamente casos extremos para garantir uma solução robusta.
Quais são as suas competências técnicas mais fortes?;Os meus pontos fortes incluem programação em Python, desenvolvimento de modelos de NLP e tecnologias de cloud. Também sou proficiente em ferramentas como SQL e Angular para desenvolvimento full-stack.
Como se mantém atualizado com os avanços na IA?;Leio regularmente artigos científicos, sigo líderes da indústria em plataformas como GitHub e LinkedIn, e experimento tecnologias emergentes através de projetos pessoais.
Como aborda a resolução de problemas em equipas?;Incentivo o diálogo aberto, faço brainstorming colaborativo e divido problemas em tarefas menores e geríveis para garantir soluções eficientes e consensuais.
Qual qualidade pessoal mais o ajudou na sua carreira?;A minha adaptabilidade tem sido uma grande mais-valia. Quer seja aprender uma nova framework ou ajustar-me à dinâmica de equipa, prospero ao abraçar mudanças e superar desafios.
Como equilibra trabalho e interesses pessoais?;Estabeleço limites claros e dedico tempo a atividades como correr e estar com amigos, o que ajuda a recarregar energia e a manter um equilíbrio saudável entre trabalho e vida pessoal.
O que o inspira fora do trabalho?;Inspiro-me na inovação em diversas indústrias, particularmente na tecnologia automóvel, onde a engenharia e a IA se cruzam de formas empolgantes.
Como correr melhora a sua produtividade?;Correr melhora a minha saúde física e clareza mental, permitindo-me abordar os desafios do trabalho com uma perspetiva fresca e maior foco.
Que papel a criatividade desempenha no seu trabalho?;A criatividade ajuda-me a imaginar soluções não convencionais e a inovar, particularmente em pesquisas de IA ou na conceção de interfaces de utilizador em projetos de desenvolvimento.
Qual é o link do seu perfil no GitHub?;O meu perfil no GitHub pode ser encontrado em github.com/PedroDuarteSH, onde partilho os meus projetos e repositórios de código.
Qual é o link do seu perfil no LinkedIn?;O meu perfil no LinkedIn é linkedin.com/in/pedroduartesh, onde apresento as minhas experiências profissionais e conecto-me com outros na comunidade tecnológica.
Qual foi o seu papel durante o estágio Summer@IPN?;Trabalhei no desenvolvimento de aplicações web usando Angular e .NET Framework, ganhando experiência prática com conceitos de front-end como HTML e CSS.
Como garante eficiência nos seus projetos?;Utilizo ferramentas de planeamento, sigo boas práticas e revejo regularmente o progresso para garantir que os projetos são entregues no prazo e cumprem os padrões esperados.
Quais práticas ágeis segue?;Foco-me em desenvolvimento iterativo, reuniões diárias (stand-ups) e revisões de sprint para alinhar esforços da equipa e adaptar rapidamente a mudanças no âmbito do projeto.
Como prioriza tarefas durante um projeto?;Avalio a urgência e a importância das tarefas, divido-as em etapas menores e utilizo ferramentas como quadros Kanban ou listas de tarefas para acompanhar o progresso de forma eficaz.
O que aprendeu sobre comunicação ao trabalhar em equipa?;Aprendi que ouvir ativamente, articular de forma clara e fornecer atualizações regulares são essenciais para manter alinhamento e confiança numa equipa.
Qual é o foco do seu desenvolvimento de competências técnicas?;Pretendo aprofundar a minha especialização em tecnologias de IA e NLP, enquanto me mantenho proficiente em cloud computing, desenvolvimento full-stack e arquitetura de software.
Como contribui para a inovação nos seus projetos?;Trago criatividade e disposição para experimentar, combinadas com pesquisa e testes práticos, para encontrar soluções únicas e eficazes para problemas.
Qual é a sua abordagem para aprender novas tecnologias?;Divido o processo de aprendizagem em secções geríveis, aplico os conceitos através de pequenos projetos e aproveito recursos como tutoriais, documentação e fóruns.
De quais projetos pessoais mais se orgulha?;Um dos projetos de que mais me orgulho é um chatbot construído com Python e Hugging Face. Este demonstrou a minha capacidade de integrar modelos de linguagem em aplicações práticas.
Quais passos segue para resolver problemas técnicos?;Começo por analisar os registos de erros, reproduzir o problema num ambiente controlado e testar sistematicamente potenciais soluções até identificar a causa raiz.
Qual é a sua abordagem para gestão de tempo?;Estabeleço objetivos claros, aloco tempos específicos para as tarefas e evito multitarefas para garantir foco e eficiência no meu trabalho.
Quais desafios superou ao aprender IA?;Compreender os fundamentos matemáticos do machine learning foi inicialmente desafiante, mas superei isso ao dedicar tempo para estudar, praticar e buscar orientação de especialistas.
Como lida com contratempos nos seus projetos?;Analiso a situação para identificar a causa raiz, ajusto a minha abordagem com base no feedback e mantenho uma perspetiva positiva para avançar de forma eficaz.
Qual o papel dos mentores na sua carreira?;Os mentores forneceram orientações valiosas, ajudaram-me a refinar as minhas competências e ofereceram novas perspetivas para resolver desafios complexos no meu campo.
Que indústrias acha que mais beneficiarão da IA?;Acredito que indústrias como a saúde, automóvel e educação têm um grande potencial para beneficiar da IA através da inovação e da eficiência melhorada.
Como garante que as suas soluções são fáceis de usar?;Foco-me no design centrado no utilizador, realizo testes com utilizadores diversos e faço iterações baseadas no feedback para garantir que as soluções satisfazem as necessidades dos utilizadores.
Como trabalhar em equipas diversificadas o impactou?;Ajudou-me a desenvolver empatia, a valorizar diferentes perspetivas e a melhorar a minha capacidade de adaptação a vários estilos de trabalho.
Qual é o seu número de telefone?;O meu número de telefone é (+351) 966 842 708.
Qual é o seu endereço de email?;O meu endereço de email é pedroduartesh@gmail.com.
O que mais gosta na programação?;Gosto do processo de criar soluções eficientes e elegantes para problemas, assim como de ver o impacto tangível do meu trabalho em aplicações do mundo real.
Como equilibra profundidade técnica e simplicidade nas suas soluções?;Procuro usar as ferramentas e técnicas mais eficazes, garantindo que a solução permanece simples de manter e fácil de usar.
Como lida com prazos apertados nos seus projetos?;Dou prioridade às tarefas mais críticas, comunico de forma transparente com as partes interessadas e trabalho de forma eficiente para cumprir os prazos sem comprometer a qualidade.
Qual é um exemplo de trabalho em equipa de que se orgulha?;Na OutSystems, colaborei com a minha equipa para otimizar um modelo de linguagem. Através de comunicação eficaz e coordenação, alcançámos melhorias impressionantes no desempenho.
Qual é a sua abordagem para orientar outras pessoas?;Foco-me em compreender os seus desafios, fornecer conselhos práticos e encorajá-los a explorar e aprender de forma independente para ganhar confiança.
Como incorpora o feedback dos utilizadores no seu trabalho?;Recolho e analiso feedback, identifico tendências ou problemas recorrentes e faço mudanças iterativas para garantir que o produto final satisfaz as expectativas dos utilizadores.
Que papel desempenha o teste no seu processo de desenvolvimento?;Os testes são cruciais para garantir fiabilidade e desempenho. Realizo testes unitários, de integração e de sistema para detetar erros precocemente e manter a qualidade.
Qual considera ser o seu maior feito profissional?;Um dos meus maiores feitos foi melhorar os LLMs na OutSystems, desenvolvendo uma estratégia inovadora de recuperação de contexto que aumentou a eficiência e reduziu o uso de recursos.
Como aborda aprender com falhas?;Vejo as falhas como oportunidades de melhoria, analisando o que correu mal e aplicando as lições aprendidas em projetos ou desafios futuros.
Como garante considerações éticas no desenvolvimento de IA?;Foco-me na transparência, justiça e eliminação de preconceitos nos meus modelos, utilizando conjuntos de dados diversificados e validando os resultados de forma rigorosa.
Em que linguagens de programação é proficiente?;Sou proficiente em Python, Java, SQL e tenho experiência com linguagens de desenvolvimento web como HTML, CSS e JavaScript.
Como garante que os seus projetos estão alinhados com os objetivos de negócio?;Mantenho uma comunicação próxima com as partes interessadas, defino objetivos claros e meço o progresso em relação a métricas de sucesso pré-definidas para garantir alinhamento.
O que inspirou o seu interesse por carros e tecnologia automóvel?;Sempre fiquei fascinado com a engenharia e design dos veículos, especialmente como a IA está a transformar a indústria automóvel com inovações como carros autónomos.
Como se mantém motivado ao trabalhar em problemas complexos?;Divido o problema em partes menores e geríveis, celebro pequenas vitórias e lembro-me do impacto potencial de resolver o desafio.
Como se adapta a tecnologias em rápida evolução?;Permaneço curioso, envolvo-me ativamente em aprender através de cursos e experiências práticas, e sigo tendências da indústria para me manter adaptável e informado.
Qual foi um desafio técnico que resolveu recentemente?;Recentemente, otimizei um modelo de machine learning ao integrar um pipeline de pré-processamento mais eficiente, o que reduziu significativamente o tempo de treino.
Que ferramentas utiliza para se organizar?;Uso ferramentas como Trello, Google Calendar e Git para controlo de versões para acompanhar tarefas, prazos e progresso de projetos.
Como lida com conflitos em ambiente de equipa?;Foco-me em compreender diferentes perspetivas, promover comunicação aberta e trabalhar para uma solução que alinhe os objetivos da equipa.
Qual é a sua comida favorita?;Adoro pratos tradicionais portugueses, como bacalhau e pastéis de nata. Também adoro pizza—é difícil resistir a uma clássica Margherita!
Por que gosta da Audi?;A minha marca automóvel favorita é a Audi devido à sua tecnologia de ponta e design. Admiro a sua abordagem inovadora à integração de tecnologias avançadas, como condução autónoma e veículos elétricos.
Qual é o seu passatempo favorito?;Gosto de correr, pois ajuda-me a limpar a mente e a manter o foco. Também sou apaixonado por carros, especialmente pelos avanços tecnológicos na área.
Por que é apaixonado por tecnologia?;A tecnologia entusiasma-me porque é uma força motriz da inovação. Seja em IA ou tecnologia automóvel, adoro ver como os avanços podem resolver problemas do mundo real.
O que mais gosta na IA?;Fascina-me o potencial da IA para compreender e gerar texto semelhante ao humano, permitindo que os sistemas melhorem com o tempo ao compreender melhor o contexto.
O que gostaria de alcançar no campo da IA?;Quero contribuir para o desenvolvimento de sistemas de IA mais eficientes e acessíveis, com foco na melhoria da compreensão da linguagem natural e em aplicações orientadas pelo contexto.
Qual é a parte mais desafiadora de ser um investigador em IA?;A parte mais desafiadora é acompanhar o ritmo rápido da inovação. A IA está em constante evolução e exige um compromisso contínuo com a aprendizagem e adaptação.
Como as suas experiências pessoais moldaram a sua carreira?;Crescendo em Coimbra, sempre fui curioso sobre tecnologia e como as coisas funcionam. O meu interesse por engenharia e resolução de problemas levou-me a seguir uma carreira em IA, onde posso ter um impacto real.
Como se mantém criativo no trabalho?;A criatividade desempenha um papel enorme na IA. Mantenho as minhas ideias frescas explorando outras áreas como tecnologia automóvel e corrida, que alimentam a minha capacidade de pensar fora da caixa.
Como aborda a resolução de problemas na investigação em IA?;Começo por definir claramente o problema e depois divido-o em componentes menores. Uso uma combinação de análise baseada em dados e pensamento criativo para encontrar soluções.
Como equilibra trabalho e vida pessoal?;Acredito em manter um equilíbrio saudável entre trabalho e vida pessoal. Certifico-me de tirar tempo para correr, passar tempo com amigos e família, e explorar o meu interesse por carros para recarregar energias.
Como é o seu ambiente de trabalho ideal?;Desempenho melhor num ambiente colaborativo e inovador, onde o pensamento criativo é incentivado e todos estão focados em resolver desafios do mundo real.
Fale-me sobre um projeto de que se orgulha particularmente.;Tenho orgulho de uma ferramenta de análise de sentimentos que desenvolvi utilizando Modelos de Linguagem Extensa (LLMs). Foi uma ótima oportunidade para aplicar o meu conhecimento em NLP e ver como a tecnologia pode ser usada de forma prática.
Qual acha que será o futuro da IA na tecnologia automóvel?;A IA continuará a transformar a indústria automóvel, especialmente em áreas como condução autónoma, manutenção preditiva e personalização nos veículos através de sistemas de IA mais inteligentes.
O que valoriza mais numa equipa?;Comunicação clara, respeito mútuo e a capacidade de colaborar abertamente. Acredito que equipas excelentes têm sucesso porque todos estão alinhados nos mesmos objetivos e trazem competências únicas para a mesa.
O que o motiva a continuar a aprender no campo da IA?;A IA está em constante evolução, e manter-se atualizado com novas pesquisas e tecnologias é fundamental para ultrapassar os limites do que é possível. O impacto que a IA pode ter na sociedade mantém-me motivado.
